MODEL-24 3D 6 X 5 MIN ADNI-AV45,1
None Provided,1
PET (AC) FDG,1
PET 2 (AC) FDG,1
PET 3 (AC) AV45,1
PET 3D 6 X 5 MIN ADNI-FDG,1
PET AC (AC)  FDG,1
PET AC 3D Brain RESEARCH-3.0,1
PET AC 3D Brain RESEARCH-5,1
PET ADNI 30minBrain,1
PET ADNI 30minBrain  FDG,1
PET ADNI 336,1
PET ADNI Iterative FDG,1
PET ADNI Iterative1  FDG,1
PET AV-45 BRAIN 2  AV45,1
PET BRAIN  FDG,1
PET BRAIN  W/PATCH,1
PET BRAIN #3,1
PET BRAIN DYN (AC) AV45,1
PET BRAIN MODEL ADNI-AV45,1
PET BRAIN W/PATCH,1
PET Brain (AC) AV45,1
PET Brain 168x168,1
PET Brain AV45 Volume (Corrected),1
PET Brain AV45 recon,1
PET Brain COR ADNI,1
PET Brain COR ADNI #1  AV45,1
PET Brain COR ADNI #1  FDG,1
PET Brain COR ADNI #2  AV45,1
PET Brain COR ADNI #2 FDG,1
PET Brain COR ADNI #3,1
PET Brain IT3_16BB AV45,1
PET Brain IT3_16BB FDG,1
PET Brain cor #2,1
PET Brain1,1
PET Brain1 AV45,1
PET Brain1 FDG,1
PET Brain2corr FDG,1
PET Brain_FDG2,1
PET COR BRAIN ADNI,1
PET COR BRAIN ADNI # 3,1
PET FDG (AC),1
PET FDG DYNAMIC,1
PET Zoom 2 (AC)  FDG,1
PET adni3,1
PET-AC  Volume (Corrected) FDG,1
PET-AC 2 Volume (Corrected)  AV45,1
PET11162011  AV45,1
PET3DBRAIN I4.20 AV45,1
PET3DBRAINOSEM AV45,1
PET3DBRAINOSEM FDG,1
PETS3,1
PETWB  AV45,1
PET_AC Volume (Corrected)  AV45,1
PET_AC Volume (Corrected)  FDG,1
TR:BRAIN 3D:FDG:IR CTAC 10it NF,1
TRANSAXIAL:BRAIN 3D:FDG:RP CTAC,1
TRANSAXIAL:BRAIN_3D:PIB:ADNI CTAC,1
adni 2,1
adni brain (6x5),1
adni brain 127_S_1382,1
adni brain 24mo FDG,1
adni2,1
andi2,1
e+1 ADNI FDG 6X5,1
e+1 ADNI_BRAIN_3D  AV45,1
emission_dynamic 4i/16s  AV45,1
lm merged  AV45,1
pet ac (AC)  AV45,1
pet2,1
pet4adni,1
research,1
